,"Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Adj Close","Pct","Pct","Pct","Pct","Pct","Pct","Pct","Pct","Pct","Pct","Pct","Pct","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Slope","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Intercept","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual","Residual"
,"SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU","SPY","XLY","XLP","XLE","XLF","XLV","XLI","XLB","XLRE","XLK","XTL","XLU"
"Dt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-03",103.807343,24.143181,15.146303,18.988497,9.962534,23.500662,20.766108,17.069952,,44.701092,,14.291565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-04",99.747833,23.416885,14.719798,18.631071,9.52701,22.967384,20.192383,16.905626,,42.43327,,13.860462,(0.039),(0.030),(0.028),(0.019),(0.044),(0.023),(0.028),(0.010),"#DIV/0!",(0.051),"#DIV/0!",(0.030),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-05",99.926254,23.128872,14.979872,19.122536,9.45215,22.76136,20.10239,17.604033,,41.803299,,14.210191,"0.002 ",(0.012),"0.018 ","0.026 ",(0.008),(0.009),(0.004),"0.041 ","#DIV/0!",(0.015),"#DIV/0!","0.025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-06",98.320305,23.391836,15.260742,19.859741,9.867239,22.834116,20.372374,18.055948,,40.41745,,14.185829,(0.016),"0.011 ","0.019 ","0.039 ","0.044 ","0.003 ","0.013 ","0.026 ","#DIV/0!",(0.033),"#DIV/0!",(0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-07",104.030365,24.493809,16.228188,20.071962,10.030557,23.112822,21.148626,18.045679,,41.122986,,14.307805,"0.058 ","0.047 ","0.063 ","0.011 ","0.017 ","0.012 ","0.038 ",(0.001),"#DIV/0!","0.017 ","#DIV/0!","0.009 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-10",104.387283,24.368589,15.864079,19.904417,9.853654,25.476231,21.148626,17.984058,,42.685249,,14.356634,"0.003 ",(0.005),(0.022),(0.008),(0.018),"0.102 ","0.000 ",(0.003),"#DIV/0!","0.038 ","#DIV/0!","0.003 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-11",103.138176,24.230837,15.864079,19.926756,9.690328,24.797518,20.878641,17.768368,,41.475758,,14.202077,(0.012),(0.006),"0.000 ","0.001 ",(0.017),(0.027),(0.013),(0.012),"#DIV/0!",(0.028),"#DIV/0!",(0.011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-01-12",102.11216,24.093088,15.947304,19.837399,9.880871,24.385477,20.631126,17.511597,,41.299324,,14.055688,(0.010),(0.006),"0.005 ",(0.004),"0.020 ",(0.017),(0.012),(0.014),"#DIV/0!",(0.004),"#DIV/0!",(0.010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
